,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Chelsea,2014/2015,1.1426887150718679,2.3302494781632643,-0.7855750887082871,-0.6184215339445421,0.6283239233924914,1.4091981368345035,-0.8617036585103588,-0.6093844004229405,-0.9743216716147198,3,2,2,1,2,2,3,1,2,2,1,0,0,1,0,87
1,Manchester City,2014/2015,0.18546256632056465,-0.25891660868480765,-1.4112543629007284,-1.3556127664612152,-0.9424858850887381,0.8300756148477213,-0.514708896694107,-0.27998742722135084,0.4301059631452374,2,2,1,1,1,2,2,1,2,2,1,0,0,1,0,79
2,Arsenal,2014/2015,0.18546256632056465,2.177945590701613,-1.6198141209648753,-1.6832533142464032,-0.15708098084812333,1.0231164555099819,0.5262753887546482,-0.27998742722135084,0.07899905445524809,2,2,1,1,1,2,2,0,2,2,1,0,0,1,0,75
3,Manchester United,2014/2015,-1.370029925400303,-0.4112204961464589,0.3267436209671639,0.036859561625833884,2.068232914500285,0.2509530928609391,-0.514708896694107,-0.6093844004229405,0.7812128718352267,2,2,2,1,2,3,2,1,2,2,1,0,0,1,0,70
4,Tottenham Hotspur,2014/2015,-1.9682962683698675,-0.25891660868480765,-0.7855750887082871,-0.6184215339445421,0.3665222886456198,0.8300756148477213,1.3359298329925688,0.4886055102490249,0.7812128718352267,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,64
5,Liverpool,2014/2015,1.6213017894475192,1.7210339283166591,-1.2026946048365812,-1.1917924925686212,-1.9896924240762244,0.7335551945165909,0.5262753887546482,0.1592085370474353,1.8345335979051947,3,2,1,1,2,2,2,1,2,2,1,0,0,1,0,62
6,Southampton,2014/2015,-1.25037665680639,0.6549067160851001,-0.6465352499988557,-0.5365113969982451,-0.026180163474687528,-0.23164900879471273,1.7985895154142377,1.9159923941225798,-1.3254285803047092,2,2,2,1,2,2,2,0,2,2,1,0,0,1,0,60
7,Swansea City,2014/2015,0.6640756406962162,-0.4112204961464589,-1.0636547661271498,-1.1917924925686212,-0.6806842503418664,-1.6794553137616681,0.5262753887546482,1.2571984477194007,0.4301059631452374,2,2,2,1,2,2,2,0,2,2,1,0,0,1,0,56
8,Stoke City,2014/2015,-1.1307233882124772,-1.9342593707629718,0.3962635403218796,0.20067983551842788,0.10472065389874825,-1.5829348934305378,-0.977368579115776,-0.719183391490137,-1.852088943339693,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,54
9,Crystal Palace,2014/2015,0.4247691035083904,-0.10661272122315633,1.3000224919331835,1.51124202665918,0.7592247407659272,-0.13512858846358236,-1.2086984203266105,-1.3779773378933162,-0.6232147629247305,2,2,3,1,3,2,2,1,2,2,1,0,0,1,0,48
10,Everton,2014/2015,0.4247691035083904,-0.4112204961464589,-0.5074954112894243,-0.7822418078371361,0.3665222886456198,-0.5212102697881038,0.6419403093600654,1.2571984477194007,1.4834266892152053,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,47
11,West Ham United,2014/2015,1.7409550580414321,0.35029894116179755,1.647622088706762,1.5931521636054768,1.9373320971268493,-2.0655369950861897,-1.902687943959114,-1.3779773378933162,-1.852088943339693,3,2,3,1,3,3,1,1,1,2,1,0,0,1,0,47
12,West Bromwich Albion,2014/2015,-0.2931505080550869,-0.4112204961464589,0.11818386290301687,0.3645001094110219,-0.4188826155949949,0.3474735131920694,-0.6303738172995244,-0.719183391490137,-0.44766130857973585,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,44
13,Leicester City,2014/2015,0.6640756406962162,-0.10661272122315633,-0.0903758951611302,-0.12696071226676012,0.7592247407659272,1.5057185571656337,1.3359298329925688,1.6963944119881869,0.4301059631452374,2,2,2,1,2,2,3,1,2,2,1,0,0,1,0,41
14,Newcastle United,2014/2015,-0.4128037766489998,-0.5635243836081102,-0.1598958145158459,-0.12696071226676012,-0.6806842503418664,-1.389894052768277,1.1045999917817344,0.8180024834506145,-0.09655439988974655,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,39
15,Sunderland,2014/2015,0.3051158349144775,-0.5635243836081102,0.8133830564501737,0.6102305202499129,-1.596989971955917,0.4439939335231998,-0.6303738172995244,-0.9387813736245301,0.25455250880024277,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,38
16,Aston Villa,2014/2015,1.023035446477955,-0.7158282710697615,1.5781021693520463,1.183601478873992,-1.073386702462174,0.2509530928609391,-0.8617036585103588,-0.4995854093557439,0.07899905445524809,2,1,3,1,2,2,2,1,2,2,1,0,0,1,0,38
17,Hull City,2014/2015,-0.17349723946117404,-0.25891660868480765,0.11818386290301687,0.4464102463573189,0.4974231060190556,-0.5212102697881038,-0.977368579115776,-1.0485803646917267,-0.9743216716147198,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,35
18,Burnley,2014/2015,-1.1307233882124772,-0.7158282710697615,1.7171420080614777,1.9207927113906649,0.3665222886456198,0.4439939335231998,0.8732701505708999,1.147399456652204,1.132319780525216,2,1,3,1,3,2,2,1,2,2,1,0,0,1,0,33
19,Queens Park Rangers,2014/2015,-0.6521103138368256,-0.10661272122315633,0.25722370161244823,0.3645001094110219,-0.2879817982215591,0.057912252198678356,0.4106104681492309,-0.27998742722135084,0.4301059631452374,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,30
